Dates,Price
2015-11-16,129.51
2015-11-17,130.99
2015-11-18,132.97
2015-11-19,133.83
2015-11-20,133.97
2015-11-23,133.03
2015-11-24,133.33
2015-11-25,132.19
2015-11-27,131.79
2015-11-30,130.43
2015-12-01,132.49
2015-12-02,131.8
2015-12-03,130.52
2015-12-04,133.18
2015-12-07,133.14
2015-12-08,130.03
2015-12-09,129.35
2015-12-10,131.3
2015-12-11,129.7
2015-12-14,128.25
2015-12-15,131.42
2015-12-16,132.82
2015-12-17,130.52
2015-12-18,125.16
2015-12-21,126.36
2015-12-22,127.68
2015-12-23,129.19
2015-12-24,128.71
2015-12-28,129.62
2015-12-29,132.14
2015-12-30,131.3
2015-12-31,129.67
2016-01-04,126.01
2016-01-05,126.52
2016-01-06,124.51
2016-01-07,119.28
2016-01-08,116.58
2016-01-11,116.79
2016-01-12,118.31
2016-01-13,114.9
2016-01-14,115.87
2016-01-15,112.66
2016-01-19,113.03
2016-01-20,109.54
2016-01-21,110.65
2016-01-22,111.73
2016-01-25,111.23
2016-01-26,114.79
2016-01-27,104.55
2016-01-28,105.82
2016-01-29,107.73
2016-02-01,109.01
2016-02-02,105.39
2016-02-03,109.28
2016-02-04,110.85
2016-02-05,109.92
2016-02-08,107.13
2016-02-09,106.62
2016-02-10,105.31
2016-02-11,98.137
2016-02-12,98.314
2016-02-16,101.9
2016-02-17,105.29
2016-02-18,106.42
2016-02-19,104.22
2016-02-22,106.25
2016-02-23,105.79
2016-02-24,104.62
2016-02-25,105.72
2016-02-26,106.94
2016-02-29,106.96
2016-03-01,108.57
2016-03-02,108.29
2016-03-03,108.25
2016-03-04,109.58
2016-03-07,111.26
2016-03-08,110.73
2016-03-09,111.22
2016-03-10,111.3
2016-03-11,112.8
2016-03-14,114.36
2016-03-15,114.38
2016-03-16,115.44
2016-03-17,118.3
2016-03-18,121.24
2016-03-21,122.98
2016-03-22,122.31
2016-03-23,120.24
2016-03-24,119.58
2016-03-28,118.83
2016-03-29,118.46
2016-03-30,116.39
2016-03-31,114.89
2016-04-01,114.9
2016-04-04,114.36
2016-04-05,114.97
2016-04-06,115.78
2016-04-07,114.94
2016-04-08,115.75
2016-04-11,115.77
2016-04-12,117.17
2016-04-13,118.69
2016-04-14,118.43
2016-04-15,118.68
2016-04-18,119.43
2016-04-19,120.1
2016-04-20,118.18
2016-04-21,118.34
2016-04-22,118.61
2016-04-25,118.35
2016-04-26,120.58
2016-04-27,124.06
2016-04-28,122
2016-04-29,122
2016-05-02,121.29
2016-05-03,119.93
2016-05-04,118.47
2016-05-05,119.54
2016-05-06,120.6
2016-05-09,119.56
2016-05-10,121.93
2016-05-11,121.35
2016-05-12,122.65
2016-05-13,120.55
2016-05-16,122.41
2016-05-17,120.97
2016-05-18,119.52
2016-05-19,116.84
2016-05-20,116.25
2016-05-23,116.42
2016-05-24,116.35
2016-05-25,117.58
2016-05-26,117.99
2016-05-27,117.91
2016-05-31,115.11
2016-06-01,115.33
2016-06-02,115.75
2016-06-03,116.24
2016-06-06,120.35
2016-06-07,120.37
2016-06-08,121.35
2016-06-09,121.44
2016-06-10,119.66
2016-06-13,118.54
2016-06-14,119.07
2016-06-15,118.76
2016-06-16,118.05
2016-06-17,118.46
2016-06-20,121.15
2016-06-21,120.01
2016-06-22,120.22
2016-06-23,121.85
2016-06-24,115.42
2016-06-27,111.95
2016-06-28,113.03
2016-06-29,115.88
2016-06-30,118.5
2016-07-01,118.35
2016-07-05,115.86
2016-07-06,115.85
2016-07-07,116.05
2016-07-08,118.7
2016-07-11,120.47
2016-07-12,119.34
2016-07-13,118.72
2016-07-14,120.04
2016-07-15,120.81
2016-07-18,121.74
2016-07-19,122.88
2016-07-20,122.94
2016-07-21,121.84
2016-07-22,121.78
2016-07-25,121.3
2016-07-26,123.07
2016-07-27,124.05
2016-07-28,121.36
2016-07-29,121.95
2016-08-01,121.54
2016-08-02,120.09
